"Formuliernaam";"Subgroepnaam";"Subgroep maximum aantal deelnemers";"Deelnemersnummer";"Lidnummer";"Lid voornaam";"Lid tussenvoegsel";"Lid achternaam";"Lid geslacht";"Lid straat";"Lid huisnummer";"Lid toevoegsel huisnr";"Lid postcode";"Lid plaats";"Lid aanvullende adresgegevens";"Lid land";"Lid geboortedatum";"Lid e-mailadres";"Lid telefoon";"Lid mobiel";"Organisatie";"Organisatie plaats";"Heb je een zwemdiploma? (let op: dit kan verplicht zijn voor de HIT waaraan je deelneemt)";"Telefoonnummer van de mobiele telefoon die je mee neemt naar de HIT.";"Dieet: Geen dieet";"Dieet: Veganistisch";"Dieet: Vegetarisch";"Dieet: Melk allergie";"Dieet: Lactose intolerantie";"Dieet: Noten allergie";"Dieet: Glutenvrij";"Dieet: Dieet gebaseerd op godsdienst, namelijk";"Dieet Reden: Dieet gebaseerd op godsdienst, namelijk";"Dieet: Anders, namelijk";"Dieet Reden: Anders, namelijk";"Heeft de deelnemer een allergie, lichamelijke of geestelijke beperkingen of gebruikt hij/zij medicijnen?";"De ouder/verzorger of deelnemer (18 jaar of ouder) gaat er mee akkoord dat medisch handelen is toegestaan, als een arts dit noodzakelijk acht.";"Naam contactpersoon in geval van nood";"Relatie met de deelnemer";"Relatie met de deelnemer Reden: anders (vul in)";"Telefoonnummer"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Matrozen";"3";"1052841";"601234567";"Sophie";"van";"Bakker";"Vrouw";"Kerkstraat";"15";"";"2311EJ";"Leiden";"";"Nederland";"13-06-2008";"s.bakker@example.com";"06-11223344";"06-55667788";"Scouting De Vliegende Hollander";"Leiden";"JA, ik heb een zwemdiploma";"06-11122233";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Maria Bakker";"ouder(s)/verzorger(s)";"";"06-55667788"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Matrozen";"3";"1053102";"601345678";"Daan";"";"Visser";"Man";"Dorpsweg";"8";"";"2313BA";"Leiden";"";"Nederland";"31-07-2008";"d.visser@example.com";"071-1234567";"06-22334455";"Scouting De Vliegende Hollander";"Leiden";"JA, ik heb een zwemdiploma";"06-22233344";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Peter Visser";"ouder(s)/verzorger(s)";"";"06-22334455"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Matrozen";"3";"1054293";"601456789";"Bram";"van der";"Smit";"Man";"Emmalaan";"22";"";"2515BJ";"Den Haag";"";"Nederland";"27-06-2008";"b.smit@example.com";"070-5551234";"";"Scouting De Vliegende Hollander";"Leiden";"JA, ik heb een zwemdiploma";"06-33344455";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Karin Smit";"ouder(s)/verzorger(s)";"";"06-33344455"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Zeester";"1";"1055384";"601567890";"Noor";"";"Meijer";"Vrouw";"Brinkstraat";"41";"";"7411JB";"Deventer";"";"Nederland";"27-02-2010";"n.meijer@example.com";"0570-123456";"06-44455566";"Scouting De Pioniers";"Deventer";"JA, ik heb een zwemdiploma";"06-44455566";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Sandra Meijer";"ouder(s)/verzorger(s)";"";"06-44455566"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Dolfijnen";"3";"1056475";"601678901";"Julia";"";"Mulder";"Vrouw";"Parkweg";"7";"";"6811EG";"Arnhem";"";"Nederland";"27-04-2009";"j.mulder@example.com";"026-1234567";"";"Scouting De Veluwezwervers";"Arnhem";"JA, ik heb een zwemdiploma";"06-55566677";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Henk Mulder";"ouder(s)/verzorger(s)";"";"06-55566677"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Dolfijnen";"3";"1057566";"601789012";"Fleur";"";"Bos";"Vrouw";"Velperweg";"103";"";"6828HN";"Arnhem";"";"Nederland";"31-10-2009";"f.bos@example.com";"026-7654321";"06-66677788";"Scouting De Veluwezwervers";"Arnhem";"JA, ik heb een zwemdiploma";"06-66677788";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Annemiek Bos";"ouder(s)/verzorger(s)";"";"06-66677788"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Dolfijnen";"3";"1058657";"601890123";"Mila";"";"Vos";"Vrouw";"Kastanjelaan";"29";"";"6822EH";"Arnhem";"";"Nederland";"24-12-2009";"m.vos@example.com";"026-9876543";"";"Scouting De Veluwezwervers";"Arnhem";"JA, ik heb een zwemdiploma";"06-77788899";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Rob Vos";"ouder(s)/verzorger(s)";"";"06-77788899"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Kompas";"1";"1059748";"601901234";"Eva";"";"Peters";"Vrouw";"Oudegracht";"54";"";"3511CE";"Utrecht";"";"Nederland";"14-08-2007";"e.peters@example.com";"030-1234567";"06-88899900";"Scouting Domstad";"Utrecht";"JA, ik heb een zwemdiploma";"06-88899900";"";"";"Vegetarisch";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Willem Peters";"ouder(s)/verzorger(s)";"";"06-88899900"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Windkracht Vijf";"3";"1060839";"602012345";"Roos";"";"Hendriks";"Vrouw";"Stationsweg";"12";"";"6711CL";"Ede";"";"Nederland";"12-12-2008";"r.hendriks@example.com";"0318-123456";"06-99900011";"Scouting Rijnstreek";"Ede";"JA, ik heb een zwemdiploma";"06-99900011";"";"";"";"";"";"";"";"";"";"Anders, namelijk";"pinda allergie";"Pinda-allergie, heeft inhalator voor astma.";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Frank Hendriks";"ouder(s)/verzorger(s)";"";"06-99900011"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Windkracht Vijf";"3";"1061920";"602123456";"Sara";"";"Dekker";"Vrouw";"Hessenweg";"67";"";"6721BN";"Bennekom";"";"Nederland";"19-10-2008";"s.dekker@example.com";"0318-654321";"06-10011122";"Scouting Rijnstreek";"Ede";"JA, ik heb een zwemdiploma";"06-10011122";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Linda Dekker";"ouder(s)/verzorger(s)";"";"06-10011122"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Windkracht Vijf";"3";"1062011";"602234567";"Nina";"";"Brouwer";"Vrouw";"Molenweg";"3";"";"6525EM";"Nijmegen";"";"Nederland";"11-01-2008";"n.brouwer@example.com";"024-1234567";"06-11122234";"Scouting Rijnstreek";"Ede";"JA, ik heb een zwemdiploma";"06-11122234";"";"";"";"";"";"";"";"";"";"Anders, namelijk";"selderij allergie";"Selderij allergie.";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Jan Brouwer";"ouder(s)/verzorger(s)";"";"06-11122234"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Anker";"1";"1063102";"602345678";"Luuk";"";"Dijkstra";"Man";"Herestraat";"88";"";"9711JB";"Groningen";"";"Nederland";"10-12-2008";"l.dijkstra@example.com";"050-1234567";"06-22233345";"Scouting Noorderlicht";"Groningen";"JA, ik heb een zwemdiploma";"06-22233345";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Pieter Dijkstra";"ouder(s)/verzorger(s)";"";"06-22233345"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Zeemeermin";"1";"1064193";"602456789";"Demi";"";"Jansen";"Vrouw";"Grote Markt";"5";"";"8011PH";"Zwolle";"";"Nederland";"27-05-2009";"d.jansen@example.com";"";"06-33344456";"Scouting De Pioniers";"Deventer";"JA, ik heb een zwemdiploma";"06-33344456";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Marco Jansen";"ouder(s)/verzorger(s)";"";"06-33344456"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Springtij";"2";"1065284";"602567890";"Lotte";"";"Vermeer";"Vrouw";"Nieuwestad";"31";"";"8911CE";"Leeuwarden";"";"Nederland";"01-03-2010";"l.vermeer@example.com";"";"";"Scouting De Wadlopers";"Leeuwarden";"JA, ik heb een zwemdiploma";"06-44455567";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Anja Vermeer";"ouder(s)/verzorger(s)";"";"06-44455567"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Springtij";"2";"1066375";"602678901";"Fenna";"";"Kuiper";"Vrouw";"Hoofdstraat";"76";"";"7811AB";"Emmen";"";"Nederland";"21-12-2008";"f.kuiper@example.com";"";"06-55566678";"Scouting De Wadlopers";"Leeuwarden";"JA, ik heb een zwemdiploma";"06-55566678";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Jolanda Kuiper";"ouder(s)/verzorger(s)";"";"06-55566678"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Zeilen";"3";"1067466";"602789012";"Lisa";"van";"Kramer";"Vrouw";"Rapenburg";"25";"";"2611HB";"Delft";"";"Nederland";"14-02-2008";"l.kramer@example.com";"015-1234567";"06-66677789";"Scouting Het Kompas";"Delft";"JA, ik heb een zwemdiploma";"06-66677789";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Monique Kramer";"ouder(s)/verzorger(s)";"";"06-66677789"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Zeilen";"3";"1068557";"602890123";"Jesse";"";"Willems";"Man";"Markt";"14";"";"3013AL";"Rotterdam";"";"Nederland";"16-08-2008";"j.willems@example.com";"010-1234567";"06-77788890";"Scouting Het Kompas";"Delft";"JA, ik heb een zwemdiploma";"06-77788890";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Ren Willems";"ouder(s)/verzorger(s)";"";"06-77788890"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"De Zeilen";"3";"1069648";"602901234";"Emma";"";"Hoekstra";"Vrouw";"Lange Voorhout";"9";"B";"2801JE";"Gouda";"";"Nederland";"11-10-2007";"e.hoekstra@example.com";"06-88899901";"06-99900012";"Scouting Het Kompas";"Delft";"JA, ik heb een zwemdiploma";"06-99900012";"Geen dieet";"";"";"";"";"";"";"";"";"Anders, namelijk";"Geen paprika";"Heeft medicatie voor hooikoorts.";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Gerard Hoekstra";"ouder(s)/verzorger(s)";"";"06-99900012"
"HIT Heerenveen Zeilzwerf Fryslan (1319)";"Padvinders";"1";"1070739";"603012345";"Thijs";"";"Groen";"Man";"Vaart";"42";"";"9401HJ";"Assen";"";"Nederland";"05-04-2009";"t.groen@example.com";"0592-123456";"06-10011123";"Scouting Veenlanders";"Emmen";"JA, ik heb een zwemdiploma";"06-10011123";"Geen dieet";"";"";"";"";"";"";"";"";"";"";"";"JA (deze toestemming is verplicht als je aan de HIT meedoet)";"Bas Groen";"ouder(s)/verzorger(s)";"";"06-10011123"
